Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6, C7",0805,4,100n,C49678
"C10, C11",0805,2,10u,C15850
"C12, C13",0805,2,20p,C105173
"C2, C9",0805,2,2.2n,C28260
C3,0805,1,470n,C13967
C5,0805,1,47u,C16780
C8,0805,1,1u,C307362
D1,SOP95P275X110-6N,1,"IP4234CZ6,125",C455086
D10,0603,1,FAN_PWM_IND,C2297
D11,0603,1,VALVE_OPEN_IND,C2296
D12,0603,1,VALVE_CLOSED_IND,C2296
D6,0603,1,5V_USB_PWR_IND,C2286
D7,0603,1,3v3_PWR_IND,C2286
D8,0603,1,12v_PWR_IND,C2286
D9,0603,1,PUMP_PWM_IND,C2297
IC11,SOT230P700X180-4N,1,LM3940IMP-3.3_NOPB,C140319
R1,0805,1,330,C17630
"R11, R12, R13, R14, R15",0805,5,200R,C17540
R2,0805,1,10k,C17414
R3,0805,1,1M,C17514
R4,0805,1,1k,C17513
R5,0805,1,51R,C17738
"R6, R7",0805,2,470R,C17738
R8,0805,1,300R,C17617
S1,SW_TS-1187A-B-A-B,1,TS-1187A-B-A-B,C318884
U2,TQFP-48_7x7mm_P0.5mm,1,ATSAMD21G18A-A,C78624
Y1,FC135327680KAA5,1,32.768kHz,C32346
