Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,58.6,7.725,0,top
C2,4.5nF,C_0805_2012Metric,10,5,-90,top
C3,4.7n,C_0805_2012Metric,27.5,31.85,0,top
C4,100n,C_0805_2012Metric,53,14,-135,top
C5,47u,C_0805_2012Metric,31.5,31.9,180,top
C6,100n,C_0805_2012Metric,51.95,26,135,top
C7,100n,C_0805_2012Metric,42,14,135,top
C8,1u,C_0805_2012Metric,39.95,12,135,top
C10,10u,C_0805_2012Metric,43,11,-135,top
C11,10u,C_0805_2012Metric,55,12,-135,top
C12,20p,C_0805_2012Metric,51.449999,9.525,180,top
C13,20p,C_0805_2012Metric,47.449999,9.475,0,top
D1,~,D_0805_2012Metric,22.2,22,-90,top
D2,D_Zener,D_0805_2012Metric,22.2,17.989748,90,top
D3,~,D_0805_2012Metric,25.2,22.023587,90,top
D4,~,D_0805_2012Metric,25.2,17.97134,-90,top
D5,~,D_0805_2012Metric,22.2,13.977901,-90,top
D6,5V_USB_PWR_IND,LED_0603_1608Metric,66.922469,44.666537,180,top
D7,3v3_PWR_IND,LED_0603_1608Metric,62.887501,44.6625,180,top
D8,12v_PWR_IND,LED_0603_1608Metric,70.412499,44.683269,180,top
D9,PUMP_PWM_IND,LED_0603_1608Metric,67.973106,30.977145,-90,top
D10,FAN_PWM_IND,LED_0603_1608Metric,68,17,-90,top
D11,VALVE_OPEN_IND,LED_0603_1608Metric,56.950252,37.995963,180,top
D12,VALVE_CLOSED_IND,LED_0603_1608Metric,52,38,0,top
IC1,TXU0101DBVR,TXU0101DBVR,61,23.25,180,top
IC2,TXU0101DBVR,TXU0101DBVR,61.0375,12.2,180,top
IC3,TXU0101DBVR,TXU0101DBVR,50.809466,31,-90,top
IC4,TXU0101DBVR,TXU0101DBVR,55.809466,31,-90,top
IC5,TXU0101DBVR,TXU0101DBVR,61,28.8,0,top
IC6,TXU0101DBVR,TXU0101DBVR,61,17.8,0,top
IC7,TXU0101DBVR,TXU0101DBVR,45.9875,31,90,top
IC8,TXU0101DBVR,TXU0101DBVR,41.037499,31,90,top
IC9,L293DD,SOIC127P1032X265-20N,40.54,40.445,180,top
IC11,LM3940IMP-3.3_NOPB,SOT230P700X180-4N,29.54,37.850001,90,top
J1,67643-2910,676432910,15,21,-90,top
J2,Pump,470531000,73.754999,23.5,-90,top
J3,Fan,470531000,73.755,9.88,-90,top
J4,Valve,470531000,58.54,43,0,top
J5,Conn_02x05_Counter_Clockwise,PinHeader_2x05_P2.54mm_Vertical,24.85,3.190001,90,top
J6,MOLEX POWER CONNECTOR,455580003,16.165,31.600001,90,top
R1,330,R_0805_2012Metric,57.6,4.725,90,top
R2,10k,R_0805_2012Metric,55.6,4.725,-90,top
R3,1M,R_0805_2012Metric,13,5,-90,top
R4,1k,R_0805_2012Metric,37.8,5.2,90,top
R5,51R,R_0805_2012Metric,62.937249,42.666537,0,top
R6,470R,R_0805_2012Metric,74.6,41.9125,-90,top
R7,470R,R_0805_2012Metric,70.125,46.679232,0,top
R8,300R,R_1206_3216Metric,71.024749,42.6625,180,top
R11,20R,R_0805_2012Metric,51.9125,36,180,top
R12,20R,R_0805_2012Metric,57,36,0,top
R13,20R,R_0805_2012Metric,65.9125,17,90,top
R14,20R,R_0805_2012Metric,65.9125,31,90,top
R15,20R,R_0805_2012Metric,66.937249,42.666537,0,top
S1,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,63.8,3.925,0,top
U2,ATSAMD21G18A-A,TQFP-48_7x7mm_P0.5mm,48,20,135,top
Y1,32.768kHz,FC135327680KAA5,49.449999,6.475,180,top
